
INITIALIZE IS DONE
Vx prev: 1.000000
Vx afte: 0.500000
Vx prev: 1.000000
Vx afte: 0.500000
Vx prev: 1.000000
Vx afte: 0.500000
Vx prev: 1.000000
Vx afte: 0.500000
Vx prev: 1.000000
Vx afte: 0.500000
Vx prev: 1.000000
Vx afte: 0.500000
Vx prev: 1.000000
Vx afte: 0.500000
Vx prev: 1.000000
Vx afte: 0.500000
Vx prev: 0.500000
Vx afte: 0.250000
Vx prev: 0.500000
Vx afte: 0.250000
Vx prev: 0.500000
Vx afte: 0.250000
Vx prev: 0.500000
Vx afte: 0.250000
Vx prev: 0.500000
Vx afte: 0.250000
Vx prev: 0.500000
Vx afte: 0.250000
Vx prev: 0.500000
Vx afte: 0.250000
Vx prev: 0.500000
Vx afte: 0.250000
Vx prev: 0.250000
Vx afte: 0.125000
Vx prev: 0.250000
Vx afte: 0.125000
Vx prev: 0.250000
Vx afte: 0.125000
Vx prev: 0.250000
Vx afte: 0.125000
Vx prev: 0.250000
Vx afte: 0.125000
Vx prev: 0.250000
Vx afte: 0.125000
Vx prev: 0.250000
Vx afte: 0.125000
Vx prev: 0.250000
Vx afte: 0.125000
Vx prev: 0.125000
Vx afte: 0.062500
Vx prev: 0.125000
Vx afte: 0.062500
Vx prev: 0.125000
Vx afte: 0.062500
Vx prev: 0.125000
Vx afte: 0.062500
Vx prev: 0.125000
Vx afte: 0.062500
Vx prev: 0.125000
Vx afte: 0.062500
Vx prev: 0.125000
Vx afte: 0.062500
Vx prev: 0.125000
Vx afte: 0.062500
Vx prev: 0.062500
Vx afte: 0.031250
Vx prev: 0.062500
Vx afte: 0.031250
Vx prev: 0.062500
Vx afte: 0.031250
Vx prev: 0.062500
Vx afte: 0.031250
Vx prev: 0.062500
Vx afte: 0.031250
Vx prev: 0.062500
Vx afte: 0.031250
Vx prev: 0.062500
Vx afte: 0.031250
Vx prev: 0.062500
Vx afte: 0.031250
Vx prev: 0.031250
Vx afte: 0.015625
Vx prev: 0.031250
Vx afte: 0.015625
Vx prev: 0.031250
Vx afte: 0.015625
Vx prev: 0.031250
Vx afte: 0.015625
Vx prev: 0.031250
Vx afte: 0.015625
Vx prev: 0.031250
Vx afte: 0.015625
Vx prev: 0.031250
Vx afte: 0.015625
Vx prev: 0.031250
Vx afte: 0.015625
Vx prev: 0.015625
Vx afte: 0.007812
Vx prev: 0.015625
Vx afte: 0.007812
Vx prev: 0.015625
Vx afte: 0.007812
Vx prev: 0.015625
Vx afte: 0.007812
Vx prev: 0.015625
Vx afte: 0.007812
Vx prev: 0.015625
Vx afte: 0.007812
Vx prev: 0.015625
Vx afte: 0.007812
Vx prev: 0.015625
Vx afte: 0.007812
Vx prev: 0.007812
Vx afte: 0.003906
Vx prev: 0.007812
Vx afte: 0.003906
Vx prev: 0.007812
Vx afte: 0.003906
Vx prev: 0.007812
Vx afte: 0.003906
Vx prev: 0.007812
Vx afte: 0.003906
Vx prev: 0.007812
Vx afte: 0.003906
Vx prev: 0.007812
Vx afte: 0.003906
Vx prev: 0.007812
Vx afte: 0.003906
Vx prev: 0.003906
Vx afte: 0.001953
Vx prev: 0.003906
Vx afte: 0.001953
Vx prev: 0.003906
Vx afte: 0.001953
Vx prev: 0.003906
Vx afte: 0.001953
Vx prev: 0.003906
Vx afte: 0.001953
Vx prev: 0.003906
Vx afte: 0.001953
Vx prev: 0.003906
Vx afte: 0.001953
Vx prev: 0.003906
Vx afte: 0.001953
Vx prev: 0.001953
Vx afte: 0.000977
Vx prev: 0.001953
Vx afte: 0.000977
Vx prev: 0.001953
Vx afte: 0.000977
Vx prev: 0.001953
Vx afte: 0.000977
Vx prev: 0.001953
Vx afte: 0.000977
Vx prev: 0.001953
Vx afte: 0.000977
Vx prev: 0.001953
Vx afte: 0.000977
Vx prev: 0.001953
Vx afte: 0.000977
Vx prev: 0.000977
Vx afte: 0.000488
Vx prev: 0.000977
Vx afte: 0.000488
Vx prev: 0.000977
Vx afte: 0.000488
Vx prev: 0.000977
Vx afte: 0.000488
Vx prev: 0.000977
Vx afte: 0.000488
Vx prev: 0.000977
Vx afte: 0.000488
Vx prev: 0.000977
Vx afte: 0.000488
Vx prev: 0.000977
Vx afte: 0.000488
Vx prev: 0.000488
Vx afte: 0.000244
Vx prev: 0.000488
Vx afte: 0.000244
Vx prev: 0.000488
Vx afte: 0.000244
Vx prev: 0.000488
Vx afte: 0.000244
Vx prev: 0.000488
Vx afte: 0.000244
Vx prev: 0.000488
Vx afte: 0.000244
Vx prev: 0.000488
Vx afte: 0.000244
Vx prev: 0.000488
Vx afte: 0.000244
Vx prev: 0.000244
Vx afte: 0.000122
Vx prev: 0.000244
Vx afte: 0.000122
Vx prev: 0.000244
Vx afte: 0.000122
Vx prev: 0.000244
Vx afte: 0.000122
Vx prev: 0.000244
Vx afte: 0.000122
Vx prev: 0.000244
Vx afte: 0.000122
Vx prev: 0.000244
Vx afte: 0.000122
Vx prev: 0.000244
Vx afte: 0.000122
Vx prev: 0.000122
Vx afte: 0.000061
Vx prev: 0.000122
Vx afte: 0.000061
Vx prev: 0.000122
Vx afte: 0.000061
Vx prev: 0.000122
Vx afte: 0.000061
Vx prev: 0.000122
Vx afte: 0.000061
Vx prev: 0.000122
Vx afte: 0.000061
Vx prev: 0.000122
Vx afte: 0.000061
Vx prev: 0.000122
Vx afte: 0.000061
Vx prev: 0.000061
Vx afte: 0.000031
Vx prev: 0.000061
Vx afte: 0.000031
Vx prev: 0.000061
Vx afte: 0.000031
Vx prev: 0.000061
Vx afte: 0.000031
Vx prev: 0.000061
Vx afte: 0.000031
Vx prev: 0.000061
Vx afte: 0.000031
Vx prev: 0.000061
Vx afte: 0.000031
Vx prev: 0.000061
Vx afte: 0.000031
Vx prev: 0.000031
Vx afte: 0.000015
Vx prev: 0.000031
Vx afte: 0.000015
Vx prev: 0.000031
Vx afte: 0.000015
Vx prev: 0.000031
Vx afte: 0.000015
Vx prev: 0.000031
Vx afte: 0.000015
Vx prev: 0.000031
Vx afte: 0.000015
Vx prev: 0.000031
Vx afte: 0.000015
Vx prev: 0.000031
Vx afte: 0.000015
Vx prev: 0.000015
Vx afte: 0.000008
Vx prev: 0.000015
Vx afte: 0.000008
Vx prev: 0.000015
Vx afte: 0.000008
Vx prev: 0.000015
Vx afte: 0.000008
Vx prev: 0.000015
Vx afte: 0.000008
Vx prev: 0.000015
Vx afte: 0.000008
Vx prev: 0.000015
Vx afte: 0.000008
Vx prev: 0.000015
Vx afte: 0.000008
Vx prev: 0.000008
Vx afte: 0.000004
Vx prev: 0.000008
Vx afte: 0.000004
Vx prev: 0.000008
Vx afte: 0.000004
Vx prev: 0.000008
Vx afte: 0.000004
Vx prev: 0.000008
Vx afte: 0.000004
Vx prev: 0.000008
Vx afte: 0.000004
Vx prev: 0.000008
Vx afte: 0.000004
Vx prev: 0.000008
Vx afte: 0.000004
Vx prev: 0.000004
Vx afte: 0.000002
Vx prev: 0.000004
Vx afte: 0.000002
Vx prev: 0.000004
Vx afte: 0.000002
Vx prev: 0.000004
Vx afte: 0.000002
Vx prev: 0.000004
Vx afte: 0.000002
Vx prev: 0.000004
Vx afte: 0.000002
Vx prev: 0.000004
Vx afte: 0.000002
Vx prev: 0.000004
Vx afte: 0.000002
Vx prev: 0.000002
Vx afte: 0.000001
Vx prev: 0.000002
Vx afte: 0.000001
Vx prev: 0.000002
Vx afte: 0.000001
Vx prev: 0.000002
Vx afte: 0.000001
Vx prev: 0.000002
Vx afte: 0.000001
Vx prev: 0.000002
Vx afte: 0.000001
Vx prev: 0.000002
Vx afte: 0.000001
Vx prev: 0.000002
Vx afte: 0.000001
Vx prev: 0.000001
Vx afte: 0.000000
Vx prev: 0.000001
Vx afte: 0.000000
Vx prev: 0.000001
Vx afte: 0.000000
Vx prev: 0.000001
Vx afte: 0.000000
Vx prev: 0.000001
Vx afte: 0.000000
Vx prev: 0.000001
Vx afte: 0.000000
Vx prev: 0.000001
Vx afte: 0.000000
Vx prev: 0.000001
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
Vx afte: 0.000000
Vx prev: 0.000000
